Months,Avg_Temperature_C,Min_Temperature_C,Max_Temperature_C,Precipitation_rainfall,,Rainy_days,Avg_Sun_hours
January,-20.6,-26.2,-15.3,35,,8,6.8
February,-17.6,-22.8,-13.1,"43
(1)",,9,7.3
March,-14.7,-20.8,-9.4,"45
(1)",,9,8.7
April,-9.7,-16.6,-4.3,"45
(1)",,8,9.4
May,-3.9,-11.1,"1.5 
","45
(1)",,8,9.7
June,"2.9 
",-4.6,"8.6 
","43
(1)",,8,10
July,"9.3 
","2.5 
","14.8 
","53
(2)",,10,10.1
August,"10 
","4.1 
","15.3 
","64
(2)",,11,9.8
September,"5 
",-1.6,10.5,"37
(1)",,7,9.5
October,-3.8,-11.2,"2.3 
","19
(0)",,4,8.9
November,-12.4,-19.8,-5.9,"20
(0)",,4,7.9
December,-18.8,-25.4,-12.6,"25
(0)",,5,7.2
